SSID,BSSID,Protocol
'eduroam',24:16:9d:23:fd:2f,802.11ac
'eduroam',4c:e1:76:f3:53:6f,802.11ac
'eduroam',58:ac:78:89:ec:11,802.11n
'eduroam',58:ac:78:9b:0b:41,802.11n
'eduroam',84:78:ac:c0:1f:57,802.11ac
'eduroam',a8:9d:21:5f:4c:10,802.11n
'eduroam',a8:9d:21:5f:4c:1f,802.11ac
'Global_Students',04:62:73:ae:fd:34,802.11n
'Global_Students',04:62:73:ae:fd:3b,802.11ac
'Global_Students',08:cc:68:b4:5a:fb,802.11ac
'Global_Students',08:cc:68:b5:cc:94,802.11n
'Global_Students',08:cc:68:b5:cc:9b,802.11ac
'Global_Students',1c:e6:c7:e0:26:14,802.11n
'Global_Students',1c:e6:c7:e0:26:1b,802.11n
'Global_Students',24:16:9d:23:fd:24,802.11n
'Global_Students',24:16:9d:23:fd:2b,802.11ac
'Global_Students',24:16:9d:24:45:04,802.11n
'Global_Students',4c:e1:76:f3:53:6b,802.11ac
'Global_Students',54:78:1a:bf:77:33,802.11ac
'Global_Students',54:78:1a:bf:77:3b,802.11n
'Global_Students',84:78:ac:c0:1f:53,802.11ac
'Global_Students',84:78:ac:c0:1f:5b,802.11n
'Global_Students',a8:9d:21:5f:4c:14,802.11n
'Global_Students',a8:9d:21:5f:4c:1b,802.11ac
'InnovationCentralSydney',e6:55:88:41:d0:52,802.11ax
'keg',14:02:ec:4c:2c:00,802.11ac
'Meraki Setup',e4:55:a8:41:d3:92,802.11ac
'MEREAVIE_CONTROL',7c:10:c9:02:f2:d5,802.11ax
'MEREAVIE_POWER',7c:10:c9:02:f2:d4,802.11ax
'NOKIA-C01B',dc:8d:8a:41:c0:25,802.11ax
'NOKIA-F953',dc:8d:8a:9e:f9:5d,802.11ax
'TelstraB96C8F',ec:6c:9a:b9:6c:90,802.11ax
'uniwide',00:ee:ab:38:99:21,802.11n
'uniwide',04:62:73:ae:fd:3e,802.11ac
'uniwide',08:cc:68:b4:5a:f1,802.11n
'uniwide',08:cc:68:b4:5a:fe,802.11ac
'uniwide',08:cc:68:b4:64:0a,802.11ac
'uniwide',08:cc:68:b4:6a:1e,802.11ac
'uniwide',08:cc:68:b4:7d:b5,802.11n
'uniwide',08:cc:68:b4:7d:ba,802.11ac
'uniwide',08:cc:68:b4:86:55,802.11n
'uniwide',08:cc:68:b4:86:5a,802.11ac
'uniwide',08:cc:68:b4:98:55,802.11n
'uniwide',08:cc:68:b4:e4:75,802.11n
'uniwide',08:cc:68:b5:9a:45,802.11n
'uniwide',08:cc:68:b5:cc:91,802.11n
'uniwide',08:cc:68:b5:cc:9e,802.11ac
'uniwide',1c:e6:c7:e0:26:11,802.11n
'uniwide',1c:e6:c7:e0:26:76,802.11ac
'uniwide',1c:e6:c7:e0:26:7e,802.11n
'uniwide',1c:e6:c7:e0:26:b6,802.11ac
'uniwide',24:16:9d:23:fd:2e,802.11ac
'uniwide',24:16:9d:24:45:01,802.11n
