BSSID,Protocol
58:97:1e:56:1e:8c,802.11n
58:ac:78:89:ec:13,802.11n
84:78:ac:c0:1f:5c,802.11n
a8:9d:21:5f:4c:1c,802.11ac
00:04:56:ad:d7:60,802.11n
08:cc:68:b4:68:e0,802.11n
08:cc:68:b4:68:ef,802.11ac
08:cc:68:b4:6a:1f,802.11ac
08:cc:68:b4:75:a1,802.11n
08:cc:68:b4:7f:f1,802.11n
08:cc:68:b4:84:1e,802.11ac
08:cc:68:b4:86:51,802.11n
08:cc:68:b4:88:7e,802.11ac
08:cc:68:b4:98:51,802.11n
08:cc:68:b4:98:5e,802.11ac
08:cc:68:b4:b5:81,802.11n
08:cc:68:b5:45:7e,802.11ac
08:cc:68:b5:82:21,802.11n
08:cc:68:b5:d8:d1,802.11n
08:cc:68:b5:e8:b1,802.11n
1c:e6:c7:5b:15:3f,802.11n
1c:e6:c7:e0:26:10,802.11n
24:16:9d:24:45:00,802.11n
24:16:9d:24:45:0f,802.11ac
54:78:1a:bf:77:37,802.11ac
54:78:1a:bf:77:3f,802.11n
58:97:1e:b2:2b:37,802.11ac
84:78:ac:c0:1f:50,802.11n
b8:11:4b:81:9c:80,802.11n
b8:11:4b:81:9c:8f,802.11ac
08:cc:68:b4:5a:f4,802.11n
08:cc:68:b4:68:e4,802.11n
08:cc:68:b4:68:eb,802.11ac
08:cc:68:b4:6a:1b,802.11ac
24:16:9d:24:45:0b,802.11ac
58:97:1e:b2:2b:33,802.11ac
84:78:ac:c0:1f:54,802.11n
b8:11:4b:81:9c:84,802.11n
b8:11:4b:81:9c:8b,802.11ac
0e:7b:d8:e9:84:2e,802.11ax
14:58:d0:37:26:e0,802.11ac
d2:e7:c9:51:76:3a,802.11n
78:45:58:3a:38:dc,802.11n
fa:92:bf:58:5c:13,802.11ac
48:22:54:e8:57:00,802.11n
00:2a:10:ff:56:0a,802.11ac
08:cc:68:b4:68:ee,802.11ac
08:cc:68:b4:6a:11,802.11n
08:cc:68:b4:75:a5,802.11n
08:cc:68:b4:84:1a,802.11ac
08:cc:68:b4:92:6a,802.11ac
08:cc:68:b4:b5:85,802.11n
08:cc:68:b4:b5:8a,802.11ac
08:cc:68:b5:45:7a,802.11ac
08:cc:68:b5:82:2a,802.11ac
08:cc:68:b5:eb:35,802.11n
24:16:9d:24:45:0e,802.11ac
58:97:1e:b2:2b:36,802.11ac
58:97:1e:b2:2b:3e,802.11n
84:3d:c6:08:0c:75,802.11n
b8:11:4b:81:9c:81,802.11n
b8:11:4b:81:9c:8e,802.11ac
08:cc:68:b4:68:ec,802.11ac
08:cc:68:b4:6a:13,802.11n
1c:e6:c7:5b:15:3c,802.11n
24:16:9d:24:45:0c,802.11ac
54:78:1a:bf:77:3c,802.11n
58:97:1e:b2:2b:34,802.11ac
58:97:1e:b2:2b:3c,802.11n
84:78:ac:c0:1f:54,802.11ac
b8:11:4b:81:9c:8c,802.11ac
20:b0:01:8e:5b:3d,802.11n
9a:a6:7e:50:f6:ac,802.11ax
64:a5:c3:64:5d:ae,802.11n
64:a5:c3:64:5d:af,802.11ac
00:2c:c8:3e:52:80,802.11n
08:cc:68:b4:8a:4f,802.11ac
08:cc:68:b4:a1:a0,802.11n
08:cc:68:b4:a1:af,802.11ac
08:cc:68:b4:b3:80,802.11n
08:cc:68:b4:b3:8f,802.11ac
08:cc:68:b4:c7:10,802.11n
08:cc:68:b4:db:20,802.11n
08:cc:68:b4:db:2f,802.11ac
08:cc:68:b5:7f:b1,802.11n
08:cc:68:b5:7f:be,802.11ac
08:cc:68:b5:c2:f0,802.11n
08:cc:68:b5:c2:ff,802.11ac
08:cc:68:b5:dd:ff,802.11ac
1c:e6:c7:3e:d8:5f,802.11n
1c:e6:c7:e0:26:70,802.11n
1c:e6:c7:e0:26:77,802.11ac
1c:e6:c7:f0:1a:10,802.11n
1c:e6:c7:f0:1a:87,802.11ac
1c:e6:c7:f0:1a:8f,802.11n
1c:e6:c7:f0:1f:c0,802.11n
1c:e6:c7:f0:1f:c7,802.11ac
1c:e6:c7:f0:1f:cf,802.11n
20:3a:07:e4:c0:4f,802.11n
58:97:1e:56:1e:87,802.11ac
58:97:1e:56:1e:8f,802.11n
58:ac:78:5e:75:2e,802.11ac
58:ac:78:5e:90:d1,802.11n
58:ac:78:65:99:71,802.11n
84:78:ac:98:14:1f,802.11n
a0:0f:37:4c:09:ee,802.11ac
a8:9d:21:5c:c2:ff,802.11ac
d0:72:dc:53:5d:4f,802.11ac
d0:c7:89:67:82:b0,802.11n
d0:c7:89:67:82:b7,802.11ac
d4:c9:3c:b6:5e:e1,802.11n
f0:9e:63:14:ab:c0,802.11n
